Data info
File name: filename
Start time: 2012-11-05 15:33:41.335
Number of channels: 3
Sample rate: 520
Reduced rate: 0,025


Data1

Time [s]	Quantity1 - 12345678;  [qunit]	Distance - 12345678;  [mm]	Stresslevel& - 12345678;  [kLevel]	
8,025	0,00093947491	21,290106	7,8821177
8,05	0,00091820117	21,434464	7,8699059
8,075	0,0011995351	21,592707	7,8577275
8,1	0,00079312222	21,714954	7,8452435
8,125	0,00092370296	21,801054	7,8326602
8,15	0,00090352818	21,875105	7,8204207
8,175	0,000752775	22,036674	7,8076439
8,2	0,00098532508	22,267025	7,7955446
8,225	0,0011188395	22,315968	7,7830758
8,25	0,0011243413	22,371532	7,7706747
8,275	0,001086561	22,496864	7,7587156
8,3	0,0010861943	22,740042	7,745337
8,325	0,00081476383	22,925573	7,7332358
8,35	0,0011037998	22,994617	7,7213879
8,375	0,000872351	23,029774	7,7094731
8,4	0,0014856374	23,213104	7,6969981
8,425	0,0010132007	23,302538	7,6848774
8,45	0,00086978287	23,51446	7,6724529
8,475	0,0010462126	23,635653	7,6597438
8,5	0,0012079705	23,764883	7,6477833
8,525	0,00093874149	23,953484	7,6357703
8,55	0,00088812294	24,043732	7,6235032
8,575	0,0011250747	24,203094	7,6115246
8,6	0,00081549725	24,318287	7,5991945
8,625	0,00069408771	24,376854	7,5874844
8,65	0,00079128868	24,611963	7,575273
8,675	0,00099742878	24,715815	7,5633798
8,7	0,00082650082	24,86344	7,5513363
8,725	0,0010311741	24,91885	7,5397868
8,75	0,0010414443	25,068377	7,5278902
8,775	0,00095671485	25,192806	7,5161104
8,8	0,00089252461	25,409311	7,5039721
8,825	0,0010381439	25,495646	7,4916182
8,85	0,00070215645	25,674557	7,4802985
8,875	0,001120673	25,796492	7,4680157
8,9	0,00098569179	25,79545	7,4550991
8,925	0,00065520615	26,003428	7,4434457
8,95	0,00073443493	26,113516	7,4315901
8,975	0,00041165249	26,2852	7,4191084
9	0,0013000376	26,464451	7,4070802
9,025	0,00095378002	26,534399	7,3949857
9,05	0,00081146229	26,655033	7,3831787
9,075	0,00054920185	26,778507	7,3708382
9,1	0,00087895291	26,922274	7,3591223
9,125	0,0011049011	27,040676	7,3472996
9,15	0,0007450718	27,224421	7,3362398
9,175	0,00082099903	27,326057	7,3241887
9,2	0,0011635884	27,430628	7,3121915
9,225	0,0012596892	27,651649	7,300148
9,25	0,00084117264	27,686064	7,2878971
9,275	0,00051802467	27,766823	7,2762017
9,3	0,0012435506	27,937977	7,2653561
9,325	0,00073773647	28,133642	7,2537613
9,35	0,0010968312	28,206884	7,2413068
9,375	0,00085181068	28,426455	7,2295885
9,4	0,00085144397	28,50099	7,2173467
9,425	0,00089179119	28,580633	7,2054372
9,45	0,0011140711	28,784761	7,1935244
9,475	0,0010003636	28,932793	7,1814051
9,5	0,00093800807	29,00507	7,1686602
9,525	0,00096331676	29,130955	7,1574316
9,55	0,00097542163	29,343262	7,145586
9,575	0,0010337422	29,400436	7,133379
9,6	0,0010073322	29,530567	7,1212473
9,625	0,00047804299	29,775057	7,108892
9,65	0,00051655667	29,860712	7,0962143
9,675	0,00052132504	29,952061	7,0848331
9,7	0,0010839929	30,069942	7,0733795
9,725	0,00074580521	30,238907	7,0623317
9,75	0,0013220448	30,37496	7,0501409
9,775	0,00051875808	30,487995	7,0383205
9,8	0,00055470364	30,603397	7,0264344
9,825	0,0011060012	30,796106	7,0143967
9,85	0,0012325458	30,938995	7,0030794
9,875	0,0010249389	31,013491	6,9918585
9,9	0,00080962875	31,184332	6,980485
9,925	0,0010473139	31,205929	6,9686303
9,95	0,0010949976	31,406881	6,9566364
9,975	0,0010608844	31,56612	6,9454107
10	0,00077698356	31,700815	6,9346495
10,025	0,00091563305	31,797419	6,9229798
10,05	0,00076157833	31,87805	6,9116511
10,075	0,00066364277	32,070034	6,9003744
10,1	0,00081109558	32,234253	6,8880329
10,125	0,0009647836	32,362633	6,876749
10,15	0,00078505347	32,52253	6,865449
10,175	0,00067794789	32,640926	6,8540783
10,2	0,0011503834	32,725727	6,8426108
10,225	0,00083347061	32,777119	6,8306713
10,25	0,00061449222	32,936424	6,819674
10,275	0,00090426276	33,102749	6,8078365
10,3	0,00094020832	33,218029	6,7962027
10,325	0,0010099004	33,318005	6,7847285
10,35	0,00065520615	33,446312	6,7730246
10,375	0,00060715573	33,61356	6,7616425
10,4	0,00069408771	33,785782	6,7502623
10,425	0,00063503254	33,932407	6,7388854
10,45	0,00071426132	34,110168	6,7280731
10,475	0,0014170455	34,214649	6,7162695
10,5	0,0009999969	34,263451	6,7044535
10,525	0,00090389606	34,366451	6,6932807
10,55	0,0010792245	34,558258	6,6820631
10,575	0,0011899984	34,709732	6,6712713
10,6	0,00055543706	34,751991	6,6598597
10,625	0,00089362473	34,955669	6,6490602
10,65	0,0012769292	35,119129	6,637342
10,675	0,0012068704	35,210941	6,6262112
10,7	0,00080229226	35,334549	6,6149044
10,725	0,00058955024	35,50528	6,6031423
10,75	0,00092260167	35,665115	6,5923977
10,775	0,0011236079	35,700737	6,5803404
10,8	0,0011518514	35,83083	6,5693941
10,825	0,001089128	35,953495	6,5580401
10,85	0,00076267845	36,088337	6,5467067
10,875	0,0012831644	36,193535	6,5357347
10,9	0,00075424183	36,341713	6,5242004
10,925	0,00075460854	36,573723	6,5128379
10,95	0,00061522564	36,610092	6,5018086
10,975	0,0012791294	36,793201	6,4903784
11	0,0010722559	36,947807	6,4792662
11,025	0,0011294764	37,011543	6,4681354
11,05	0,0010359425	37,109745	6,4569769
11,075	0,00090022781	37,322327	6,4455791
11,1	0,00076267845	37,412151	6,4342837
11,125	0,0008176975	37,445526	6,4230747
11,15	0,0011701903	37,690163	6,4114437
11,175	0,0010792245	37,851261	6,4004397
11,2	0,0010157689	37,928978	6,388835
11,225	0,0007450718	38,121265	6,3777537
11,25	0,001136445	38,262478	6,3658648
11,275	0,00066547748	38,349922	6,3540311
11,3	0,00073700305	38,463104	6,3425431
11,325	0,00080742734	38,589214	6,3311872
11,35	0,00043879589	38,742653	6,319994
11,375	0,00094864494	38,866096	6,3085027
11,4	0,00069335313	38,988979	6,2967472
11,425	0,0013103078	39,089806	6,2861753
11,45	0,00097138667	39,24995	6,2741966
11,475	0,00094497669	39,456703	6,2628684
11,5	0,0010656528	39,499905	6,2512136
11,525	0,00066070911	39,568233	6,2398381
11,55	0,0011283762	39,823223	6,2278452
11,575	0,00085547776	39,965248	6,2162156
11,6	0,00096515031	40,053581	6,2048192
11,625	0,00088262116	40,127609	6,1932116
11,65	0,00022788625	40,304699	6,1818252
11,675	0,0010858276	40,491707	6,1701636
11,7	0,00085144397	40,601044	6,1583905
11,725	0,0012684925	40,729252	6,1467304
11,75	0,00069482112	40,792377	6,135129
11,775	0,00085731247	40,891598	6,1230063
11,8	0,00066400948	41,033775	6,1121311
11,825	0,00041385391	41,313278	6,0999856
11,85	0,0012263106	41,417828	6,088088
11,875	0,0014368524	41,499104	6,0763674
11,9	0,0010498809	41,577076	6,0651498
11,925	0,00054406677	41,758797	6,0534501
11,95	0,00093727466	41,909618	6,0416923
11,975	0,00069518783	41,980709	6,0298281
12	0,0010032973	42,137451	6,017983
12,025	0,00045750267	42,31081	6,0056314
12,05	0,0013132414	42,371933	5,9932642
12,075	0,0010355758	42,560135	5,9811006
12,1	0,00094094174	42,708641	5,9696212
12,125	0,00091159809	42,811882	5,9578404
12,15	0,0013425862	42,926151	5,9459372
12,175	0,0008727177	43,089046	5,9334564
12,2	0,00079165539	43,201641	5,9221892
12,225	0,00083530415	43,29781	5,9097123
12,25	0,00061449222	43,402287	5,8977928
12,275	0,0011727584	43,554367	5,8856468
12,3	0,00049674977	43,711262	5,8736024
12,325	0,00078872056	43,804752	5,8623762
12,35	0,00058734883	43,931705	5,849812
12,375	0,00097542163	44,137825	5,8375406
12,4	0,00060422206	44,249672	5,8263774
12,425	0,00079495693	44,432991	5,8146825
12,45	0,00042412407	44,575912	5,8026705
12,475	0,00094497669	44,686977	5,7908845
12,5	0,00073260139	44,774406	5,7790504
12,525	0,00077515002	44,940739	5,7672925
12,55	0,0011045344	44,995892	5,7557082
12,575	0,00069702137	45,056526	5,7447987
12,6	0,0011863301	45,253361	5,7322903
12,625	0,00077918381	45,420357	5,7206702
12,65	0,0011650552	45,567524	5,708859
12,675	0,00067684776	45,69075	5,6974192
12,7	0,0011346114	45,820454	5,6861873
12,725	0,00073626847	45,930054	5,6075659
12,75	0,00095708156	46,048008	5,3920407
12,775	0,00080486038	46,151924	5,2232094
12,8	0,00081292912	46,194046	4,9404535
12,825	-4,170835E-5	46,224949	4,4391818
12,85	0,00013765506	46,237129	3,8837092
